categories_str,sources_str,cosine_centroid,manual_coarse_grained,space_selection,qumcrae_label,word,lemma,wiki_frequency,word_in_wn?,word_noun_in_wn?,n_navigli_clusters,n_onto_senses_n_v,n_wn_senses,min_wn_sim_wup,av_sim_wup,polysemy_type,mipvu,wn_abs_conc,conc,fam,aoa,property,concept
bird,wn_hypernym,0.2766636896,-,True,-,diver,diver,8230,True,True,2,0,3,0.48,0.5339130434782609,mon,,conc,,448,,lay_eggs,diver
bird,wn_hypernym,0.2207801755,-,True,-,knot,knot,8350,True,True,9,3,10,0.08695652173913043,0.20417907084627038,homonyms_only_different_pos,,abs-conc,,,,lay_eggs,knot
bird,wn_hypernym,0.2301304282,-,True,-,turtledove,turtledove,344,True,True,0,0,2,0.9333333333333333,0.9333333333333333,mon,,conc,,,,lay_eggs,turtledove
bird,wn_hypernym,0.2266964085,-,True,-,mew,mew,1201,True,True,2,0,4,0.08333333333333333,0.20833333333333331,poly,,abs-conc,,,,lay_eggs,mew
bird,wn_hypernym,0.2573343444,-,True,-,songster,songster,194,True,True,1,0,3,0.48,0.48666666666666664,poly,,conc,,,,lay_eggs,songster
bird,wn_hypernym,0.2358336412,-,True,-,hobby,hobby,9185,True,True,3,0,3,0.08695652173913043,0.19763630089717044,mon,non-met,abs-conc,449,518,361,lay_eggs,hobby
bird,wn_hypernym,0.2355433149,-,True,-,adjutant,adjutant,8338,True,True,2,0,2,0.46153846153846156,0.46153846153846156,poly,,conc,,,,lay_eggs,adjutant
bird,wn_hypernym,0.2347022702,-,True,-,rook,rook,2930,True,True,2,0,3,0.32,0.32,homonyms_also_same_pos,,conc,,,,lay_eggs,rook
bird,wn_hypernym,0.2427043696,-,True,-,gamecock,gamecock,336,True,True,1,0,2,0.5714285714285714,0.5714285714285714,mon,,conc,,,,lay_eggs,gamecock
bird,wn_hypernym,0.2473691141,-,True,-,bantam,bantam,2674,True,True,0,0,2,None,,mon,,conc,,,,lay_eggs,bantam
reptile bird,wn_hypernym,0.240234515,-,True,-,swift,swift,20354,True,True,2,0,5,0.3870967741935484,0.48327257498510573,homonyms_only_different_pos,met,conc-n,338,507,,lay_eggs,swift
bird,wn_hypernym,0.2414835252,-,True,-,brant,brant,3181,True,True,0,0,1,1.0,1.0,,,conc,,,,lay_eggs,brant
bird,wn_hypernym,0.2488216361,-,True,-,pecker,pecker,189,True,True,1,0,3,0.18181818181818182,0.29953672058935216,poly,,conc,,,,lay_eggs,pecker
bird,wn_hypernym,0.275920536,-,True,-,butterball,butterball,137,True,True,1,0,2,0.5,0.5,,,conc,,,,lay_eggs,butterball
bird,wn_hypernym,0.2429758805,-,True,-,jay,jay,46167,True,True,1,0,2,0.48,0.48,mon,,conc-n,,,,lay_eggs,jay
bird,wn_hypernym,0.2720040239,-,True,-,poultry,poultry,7685,True,True,1,0,2,0.2,0.2,poly,,conc,,,,lay_eggs,poultry
bird,wn_hypernym,0.2133884901,-,True,-,merlin,merlin,7963,True,True,1,0,2,0.08333333333333333,0.08333333333333333,,,conc-n,,,,lay_eggs,merlin
bird,wn_hypernym,0.3094136828,-,True,-,gallina,gallina,233,True,True,0,0,1,1.0,1.0,,,conc,,,,lay_eggs,gallina
bird,wn_hypernym,0.2464314852,-,True,-,minah,minah,112,True,True,0,0,1,1.0,1.0,,,conc,,,,lay_eggs,minah
bird,wn_hypernym,0.2314014436,-,True,-,phoebe,phoebe,5674,True,True,1,0,3,0.08,0.1271451355661882,,,abs-conc-n,,,,lay_eggs,phoebe
